dataset,task,model,test_mcc,test_mcc_se,test_accuracy,test_accuracy_se,test_macro_f1,test_macro_f1_se,test_micro_f1,test_micro_f1_se,test_rouge_l,test_rouge_l_se,test_bertscore,test_bertscore_se
boolq-pt,multiple-choice-reading-comprehension,openrouter/deepseek/deepseek-r1-0528,53.403993105477255,8.613393055397506,74.609375,5.746439398027993,,,,,,,,
boolq-pt,multiple-choice-reading-comprehension,openrouter/google/gemini-2.5-flash-lite-preview-06-17,66.41071559112385,3.1644519968533276,83.3203125,1.6223302889381834,,,,,,,,
boolq-pt,multiple-choice-reading-comprehension,openrouter/openai/gpt-4.1-mini,66.48408703416612,4.0787563513214184,83.0859375,2.2250010363020367,,,,,,,,
boolq-pt,multiple-choice-reading-comprehension,openrouter/x-ai/grok-3-mini,39.345776487258775,11.195341317442226,69.3359375,5.408068722059416,,,,,,,,
goldenswag-pt,common-sense-reasoning,openrouter/google/gemini-2.5-flash-lite-preview-06-17,88.60743542451827,1.689788800925833,91.3671875,1.3035625972228844,,,,,,,,
goldenswag-pt,common-sense-reasoning,openrouter/openai/gpt-4.1-mini,87.63194655797948,1.3530695961941028,90.5859375,1.0300430911040808,,,,,,,,
goldenswag-pt,common-sense-reasoning,openrouter/openai/gpt-4.1-nano,68.6019485623234,3.483410171914128,76.25,2.554124183986014,,,,,,,,
harem,named-entity-recognition,openrouter/google/gemini-2.5-flash-lite-preview-06-17,,,,,,,44.50932890661045,3.5017526652470945,,,,
harem,named-entity-recognition,openrouter/openai/gpt-4.1-mini,,,,,,,46.28942484207153,2.563632046975332,,,,
harem,named-entity-recognition,openrouter/openai/gpt-4.1-nano,,,,,,,32.59827487400168,1.7812111046456864,,,,
mmlu-pt,knowledge,ollama/gemma3:12b,55.71129667180317,1.9294246934718984,66.5234375,1.5609489697609966,,,,,,,,
mmlu-pt,knowledge,openrouter/anthropic/claude-3.7-sonnet,85.18547581038361,0.9000988443423612,88.8671875,0.687169467577059,,,,,,,,
mmlu-pt,knowledge,openrouter/anthropic/claude-sonnet-4,89.6399207948136,1.4272710375284068,92.2265625,1.0673079788020807,,,,,,,,
mmlu-pt,knowledge,openrouter/deepseek/deepseek-r1-0528,78.7946970705177,1.5125769388775832,83.7109375,1.2242022141778361,,,,,,,,
mmlu-pt,knowledge,openrouter/deepseek/deepseek-r1-0528:nitro,22.66764480801545,8.41435911975848,35.1953125,6.545932066310608,,,,,,,,
mmlu-pt,knowledge,openrouter/google/gemini-2.0-flash-001,81.30876104635053,1.55587598269085,85.9765625,1.1552230095626195,,,,,,,,
mmlu-pt,knowledge,openrouter/google/gemini-2.5-flash-lite-preview-06-17,73.59912871994818,1.5671522041332462,80.1171875,1.2369050416387064,,,,,,,,
mmlu-pt,knowledge,openrouter/openai/gpt-4.1,82.67875578954997,1.8497757205408532,86.9921875,1.393400106335867,,,,,,,,
mmlu-pt,knowledge,openrouter/openai/gpt-4.1-mini,73.72976262583963,2.740723437682339,80.2734375,2.0456504102921573,,,,,,,,
mmlu-pt,knowledge,openrouter/openai/gpt-4.1-nano,54.94153121803163,2.511130306372902,65.8203125,1.8866438944490305,,,,,,,,
mmlu-pt,knowledge,openrouter/x-ai/grok-3-mini,60.4671878285315,3.3142894980056394,69.0234375,2.7369234651801047,,,,,,,,
publico,summarization,openrouter/google/gemini-2.5-flash-lite-preview-06-17,,,,,,,,,17.805942386373975,0.3959654286683002,65.00251193996519,0.1542631105177491
publico,summarization,openrouter/openai/gpt-4.1-mini,,,,,,,,,17.752198246125136,0.2866907004544431,65.16387824434787,0.1368941273076844
publico,summarization,openrouter/openai/gpt-4.1-nano,,,,,,,,,17.289377788627494,0.3160310422288724,64.97258860385045,0.11003038931503102
scala-pt,linguistic-acceptability,openrouter/google/gemini-2.5-flash-lite-preview-06-17,26.03734201369239,6.434606292919651,,,58.36934601374073,3.2745324954640505,,,,,,
scala-pt,linguistic-acceptability,openrouter/openai/gpt-4.1-mini,23.90118212031221,3.2449651559528885,,,45.945445052916625,2.3170378885765075,,,,,,
scala-pt,linguistic-acceptability,openrouter/openai/gpt-4.1-nano,22.990447664870683,2.9469944067622804,,,49.471978099116214,2.4424003723304413,,,,,,
sst2-pt,sentiment-classification,ollama/gemma3:12b,90.37893916011916,1.2463515835640284,,,95.10299932881632,0.6517408104796686,,,,,,
sst2-pt,sentiment-classification,openrouter/google/gemini-2.5-flash-lite-preview-06-17,90.0995595542032,1.855966203220215,,,94.94435542468614,0.9905434218322018,,,,,,
sst2-pt,sentiment-classification,openrouter/openai/gpt-4.1-mini,87.42558101697753,1.4970740247322425,,,93.61197323873718,0.7849284751703927,,,,,,
sst2-pt,sentiment-classification,openrouter/openai/gpt-4.1-nano,83.66880997934004,1.9776237869778852,,,91.72994636227016,1.0290650211876067,,,,,,
boolq-pt,multiple-choice-reading-comprehension,openrouter/openai/gpt-4.1-nano,58.80327442436786,4.013899472588937,79.765625,2.069549191047815,,,,,,,,
sst2-pt,sentiment-classification,openrouter/mistralai/mistral-small-3.2-24b-instruct,87.92245554670404,2.123301906271508,,,93.88580409343044,1.0680356614984141,,,,,,
sst2-pt,sentiment-classification,ollama_chat/gemma3:1b,73.31669462403111,2.688652123227536,,,86.23009590229509,1.495849596010155,,,,,,
mmlu-pt,knowledge,ollama_chat/smollm2:135m,-1.6263976249893397,2.525586336538766,23.984375,1.4846019563337505,,,,,,,,
boolq-pt,multiple-choice-reading-comprehension,ollama_chat/smollm2:135m,-4.94662793584668,4.736512440443193,45.0,3.3679765526244054,,,,,,,,
goldenswag-pt,common-sense-reasoning,ollama_chat/smollm2:135m,1.839302887507873,1.9935062518200077,24.84375,2.3031049769218557,,,,,,,,
sst2-pt,sentiment-classification,ollama_chat/smollm2:135m,3.5624476455280356,2.88876925103299,,,44.77658411586716,4.888575476691679,,,,,,
scala-pt,linguistic-acceptability,ollama_chat/smollm2:135m,-1.2136483085377658,1.8964697154960162,,,35.62232144901819,2.1050940978068597,,,,,,
harem,named-entity-recognition,ollama_chat/smollm2:135m,,,,,,,11.660559337718393,3.488166489475366,,,,
publico,summarization,ollama_chat/smollm2:135m,,,,,,,,,12.943682594592534,0.7156611141186666,59.2258851765655,0.2796376482242535
sst2-pt,sentiment-classification,openrouter/mistralai/mistral-small-3.2-24b-instruct,88.13726826578807,1.778956022430544,,,94.0024421765765,0.8934589904817549,,,,,,
mmlu-pt,knowledge,openrouter/mistralai/mistral-small-3.2-24b-instruct,67.664116028575,2.510815967776639,75.703125,1.8885416666666666,,,,,,,,
goldenswag-pt,common-sense-reasoning,openrouter/mistralai/mistral-small-3.2-24b-instruct,94.7255120607982,0.725750869479725,96.015625,0.5567988475178645,,,,,,,,
scala-pt,linguistic-acceptability,openrouter/mistralai/mistral-small-3.2-24b-instruct,18.995689528609187,3.4271964915008057,,,48.44442417764439,2.9423191411839014,,,,,,
harem,named-entity-recognition,openrouter/mistralai/mistral-small-3.2-24b-instruct,,,,,,,33.74881411722209,2.1673735852806306,,,,
publico,summarization,openrouter/mistralai/mistral-small-3.2-24b-instruct,,,,,,,,,17.51759168114237,0.2581718586574836,64.63046890683472,0.10909683210922783
boolq-pt,multiple-choice-reading-comprehension,openrouter/mistralai/mistral-small-3.2-24b-instruct,66.75986182440283,2.229781451285064,83.59375,1.2811356656303032,,,,,,,,
harem,named-entity-recognition,openrouter/deepseek/deepseek-r1-0528,,,,,,,18.946045668729855,3.831852303821793,,,,
publico,summarization,openrouter/deepseek/deepseek-r1-0528,,,,,,,,,0.08378680881345774,0.04244597810958657,0.9501079830806702,0.3850733266855899
